Fecha muestreo	Mes	Fecha medida área	Especie nombre viejo	Especie	Charco	UM	Altura (cm)	Area (mm2)	Resolución	Peso fresco (g)	Peso seco(g)	LDMC (Leaf dry matter content, mg/g)	LWC(Leaf water content, mg/g)	LWC(otra fórmula)	LDMC(%)	LWC(%)	SLA(Specific leaf area m2/kg)	Fecha entrada estufa	Fecha salida estufa	Observaciones	Hecho por	Observaciones 2
18/07/2019	Julio	21/07/2019	Echinodorus_longiscapus	Echinodorus_longiscapus	8	Funcionales	15	2459.488	600	0.9844	0.07764	78.8703778951646	921.129622104835	921.129622104835	7.88703778951646	92.1129622104835	31.678104070067	22/07/2019	24/07/2019		Lu Sosa	
18/07/2019	Julio	21/07/2019	Ludwigia_peploides	Ludwigia_peploides	41	Funcionales	18.5	132.419	600	0.0218	0.00266	122.018348623853	877.981651376147	877.981651376147	12.2018348623853	87.7981651376147	49.7815789473684	22/07/2019	24/07/2019		Lu Sosa	
18/07/2019	Julio	21/07/2019	Ludwigia_peploides	Ludwigia_peploides	41	Funcionales	13	89.973	600	0.0124	0.00174	140.322580645161	859.677419354839	859.677419354839	14.0322580645161	85.9677419354839	51.7086206896552	22/07/2019	24/07/2019		Lu Sosa	
18/07/2019	Julio	21/07/2019	Centella_asiatica	Centella_asiatica	41	Funcionales	6	1140.838	600	0.3259	0.05679	174.255906719853	825.744093280147	825.744093280147	17.4255906719853	82.5744093280147	20.0887128015496	22/07/2019	24/07/2019		Lu Sosa	
18/07/2019	Julio	21/07/2019	Echinodorus_longiscapus	Echinodorus_longiscapus	41	Funcionales	12	2535.205	600	1.0724	0.0928	86.5348750466244	913.465124953376	913.465124953376	8.65348750466244	91.3465124953376	27.3190193965517	22/07/2019	24/07/2019		Lu Sosa	
18/07/2019	Julio	21/07/2019	Azolla_filiculoides	Azolla_filiculoides	41	Funcionales	25	18.281	600	0.011	0.0009	81.8181818181818	918.181818181818	918.181818181818	8.18181818181818	91.8181818181818	20.3122222222222	22/07/2019	24/07/2019	Alt corresponde a prof del charco	Lu Sosa	
18/07/2019	Julio	21/07/2019	Lobelia_hederacea	Lobelia_hederacea	41	Funcionales	3	74.294	600	0.0194	0.0021	108.247422680412	891.752577319588	891.752577319588	10.8247422680412	89.1752577319588	35.3780952380952	22/07/2019	24/07/2019		Lu Sosa	
18/07/2019	Julio	21/07/2019	Lobelia_hederacea	Lobelia_hederacea	41	Funcionales	9.5	40.145	600	0.009	0.00115	127.777777777778	872.222222222222	872.222222222222	12.7777777777778	87.2222222222222	34.9086956521739	22/07/2019	24/07/2019		Lu Sosa	
18/07/2019	Julio	21/07/2019	Lobelia_hederacea	Lobelia_hederacea	41	Funcionales	10.5	35.349	600	0.0102	0.00125	122.549019607843	877.450980392157	877.450980392157	12.2549019607843	87.7450980392157	28.2792	22/07/2019	24/07/2019		Lu Sosa	
18/07/2019	Julio	21/07/2019	Azolla_filiculoides	Azolla_filiculoides	41	Funcionales	27.5	26.638	600	0.0159	0.00098	61.6352201257862	938.364779874214	938.364779874214	6.16352201257862	93.8364779874214	27.1816326530612	22/07/2019	24/07/2019	Alt corresponde a prof del charco	Lu Sosa	
