2 2 2 2 2
0 0 0 0 0 0.992405578
0 0 0 0 1 0.884397357
0 0 0 1 0 1.016277599
0 0 0 1 1 1.018442855
0 0 1 0 0 1.178233145
0 0 1 0 1 1.188675974
0 0 1 1 0 1.136735946
0 0 1 1 1 1.167484694
0 1 0 0 0 1.176196413
0 1 0 0 1 1.17060402
0 1 0 1 0 1.094536933
0 1 0 1 1 1.15217898
0 1 1 0 0 1.31297615
0 1 1 0 1 1.421786538
0 1 1 1 0 1.176444624
0 1 1 1 1 1.25669345
1 0 0 0 0 1.039656492
1 0 0 0 1 0.949041303
1 0 0 1 0 0.992621787
1 0 0 1 1 1.058964153
1 0 1 0 0 1.199772776
1 0 1 0 1 1.24686852
1 0 1 1 0 1.137467381
1 0 1 1 1 1.202104356
1 1 0 0 0 1.174501114
1 1 0 0 1 1.169180997
1 1 0 1 0 1.167673211
1 1 0 1 1 1.234619049
1 1 1 0 0 1.228219534
1 1 1 0 1 1.366749269
1 1 1 1 0 1.275871975
1 1 1 1 1 1.345828692
