2 2 2 2 2
0 0 0 0 0 0.981740345
0 0 0 0 1 0.936543164
0 0 0 1 0 1.020485067
0 0 0 1 1 1.05939072
0 0 1 0 0 1.091355323
0 0 1 0 1 1.161235603
0 0 1 1 0 1.119121734
0 0 1 1 1 1.188071647
0 1 0 0 0 1.085837878
0 1 0 0 1 1.184785639
0 1 0 1 0 1.104869898
0 1 0 1 1 1.136797135
0 1 1 0 0 1.240974941
0 1 1 0 1 1.245225264
0 1 1 1 0 1.199067683
0 1 1 1 1 1.252839383
1 0 0 0 0 1.022517074
1 0 0 0 1 0.998009674
1 0 0 1 0 1.00581391
1 0 0 1 1 1.128812316
1 0 1 0 0 1.09410233
1 0 1 0 1 1.226242902
1 0 1 1 0 1.13138565
1 0 1 1 1 1.282741693
1 1 0 0 0 1.120075417
1 1 0 0 1 1.164706832
1 1 0 1 0 1.170120641
1 1 0 1 1 1.226474216
1 1 1 0 0 1.22028874
1 1 1 0 1 1.238723514
1 1 1 1 0 1.235662522
1 1 1 1 1 1.340924147
