2 2 2 2 2
0 0 0 0 0 1.001735154
0 0 0 0 1 0.918724564
0 0 0 1 0 1.001355271
0 0 0 1 1 0.681373448
0 0 1 0 0 1.174089389
0 0 1 0 1 1.194619676
0 0 1 1 0 1.19246314
0 0 1 1 1 0.918147956
0 1 0 0 0 1.162989904
0 1 0 0 1 1.153222257
0 1 0 1 0 1.141126776
0 1 0 1 1 1.101034661
0 1 1 0 0 1.402670627
0 1 1 0 1 1.319166721
0 1 1 1 0 1.337192734
0 1 1 1 1 1.348813024
1 0 0 0 0 1.135979764
1 0 0 0 1 1.155733183
1 0 0 1 0 1.143971804
1 0 0 1 1 1.138224211
1 0 1 0 0 1.416957822
1 0 1 0 1 1.429700537
1 0 1 1 0 1.454784414
1 0 1 1 1 1.493113131
1 1 0 0 0 1.750895305
1 1 0 0 1 1.527043845
1 1 0 1 0 1.488111509
1 1 0 1 1 1.660973421
1 1 1 0 0 1.591475445
1 1 1 0 1 1.903503722
1 1 1 1 0 1.807308726
1 1 1 1 1 2.138460376
