2 2 2 2 2
0 0 0 0 0 1.046352814
0 0 0 0 1 0.836105864
0 0 0 1 0 1.048455808
0 0 0 1 1 0.914291488
0 0 1 0 0 1.072533202
0 0 1 0 1 0.980236937
0 0 1 1 0 1.114578334
0 0 1 1 1 1.017393017
0 1 0 0 0 1.27812714
0 1 0 0 1 1.167071829
0 1 0 1 0 0.974112669
0 1 0 1 1 0.896772525
0 1 1 0 0 1.249190893
0 1 1 0 1 1.177345178
0 1 1 1 0 0.977531058
0 1 1 1 1 0.99899337
1 0 0 0 0 1.078436722
1 0 0 0 1 0.879756283
1 0 0 1 0 1.124732791
1 0 0 1 1 0.972428016
1 0 1 0 0 1.219426439
1 0 1 0 1 1.011756215
1 0 1 1 0 1.184539235
1 0 1 1 1 1.072074143
1 1 0 0 0 1.235423336
1 1 0 0 1 1.151266341
1 1 0 1 0 1.240967681
1 1 0 1 1 1.163475986
1 1 1 0 0 1.448585044
1 1 1 0 1 1.208059063
1 1 1 1 0 1.422074417
1 1 1 1 1 1.271339506
