2 2 2 2 2
0 0 0 0 0 0.973152597
0 0 0 0 1 0.921353697
0 0 0 1 0 1.007397543
0 0 0 1 1 0.929853346
0 0 1 0 0 1.123478622
0 0 1 0 1 1.086014467
0 0 1 1 0 1.172544313
0 0 1 1 1 0.994420333
0 1 0 0 0 1.39979947
0 1 0 0 1 1.363731196
0 1 0 1 0 1.129703888
0 1 0 1 1 1.215586086
0 1 1 0 0 1.242613181
0 1 1 0 1 1.220162144
0 1 1 1 0 1.175178677
0 1 1 1 1 1.206664793
1 0 0 0 0 1.108647794
1 0 0 0 1 0.982671462
1 0 0 1 0 1.048970726
1 0 0 1 1 1.069824139
1 0 1 0 0 1.194035957
1 0 1 0 1 1.077506028
1 0 1 1 0 1.164964012
1 0 1 1 1 1.253431573
1 1 0 0 0 1.187780916
1 1 0 0 1 1.123071017
1 1 0 1 0 1.207605713
1 1 0 1 1 1.101772451
1 1 1 0 0 1.269715041
1 1 1 0 1 1.221741501
1 1 1 1 0 1.263601907
1 1 1 1 1 1.169926527
