migration_rate,biotic_coeff,fixed_interaction_mat,abiotic_coeff,selection_coeff,diversity_index
0.0,0.1,5,0.0,0.5,0.08547625017786083
0.0,5.0,7,0.5,0.5,0.237229640636754
0.0,2.0,5,1.0,0.01,2.3756935009023477
0.0,5.0,10,5.0,0.5,2.296055405319848
0.0,0.0,10,2.0,0.5,2.57447849872188
0.0,2.0,6,5.0,0.5,2.3041208157202604
0.0,0.5,10,0.0,0.12,2.3770455827108137
0.0,0.1,5,2.0,0.12,2.6342002804743223
0.0,1.0,1,1.0,0.12,2.272282366224815
0.0,0.0,8,2.0,0.12,2.5939256541360747
0.0,0.0,9,5.0,0.5,2.5924454690366456
0.0,0.1,7,0.5,0.12,2.3881862104243123
0.0,5.0,6,5.0,0.01,2.157414642506939
0.0,0.1,5,1.0,0.12,2.403161640060179
0.0,0.0,7,0.0,0.12,2.5925747118374436
0.0,5.0,2,2.0,0.01,2.550580425761975
0.0,1.0,1,0.0,0.12,2.3455140457995487
0.0,1.0,6,5.0,0.01,2.2596395332187194
0.0,0.0,6,1.0,0.01,2.594676127004423
0.0,0.1,5,0.0,0.12,2.383047234079338
0.0,0.0,3,0.1,0.01,2.5942358824989764
0.0,0.0,8,0.0,0.12,2.591266651225226
0.0,2.0,9,2.0,0.5,1.7177706074616625
0.0,1.0,5,2.0,0.12,2.0458081097509826
0.0,0.1,4,2.0,0.01,2.5223824674578315
0.0,0.0,10,1.0,0.12,2.5896171415228673
0.0,1.0,10,0.1,0.01,2.2573213076992307
0.0,0.0,9,0.5,0.5,2.5607607089733397
0.0,0.1,4,1.0,0.01,2.6673729424824986
0.0,0.1,5,5.0,0.01,2.588660601352245
0.0,1.0,6,0.1,0.5,0.06578451628221693
0.0,5.0,1,0.1,0.5,0.06651733525566754
0.0,0.0,4,0.5,0.5,2.562949862006279
0.0,2.0,5,5.0,0.5,2.504685114715595
0.0,1.0,2,0.0,0.01,2.449102467729633
0.0,2.0,9,0.0,0.5,0.06757686685868419
0.0,1.0,9,2.0,0.01,2.1144072804213163
0.0,2.0,2,0.0,0.12,2.2427424170828703
0.0,0.5,2,0.0,0.5,0.06710805273903107
0.0,1.0,6,0.5,0.01,2.502787198317192
0.0,0.5,6,5.0,0.12,2.282436287980528
0.0,2.0,9,2.0,0.12,2.2981685998898134
0.0,0.1,8,2.0,0.5,2.155799114828503
0.0,0.5,6,0.1,0.01,2.457366746613554
0.0,0.1,5,0.1,0.5,0.06775700847110208
0.0,0.0,7,0.5,0.01,2.5871583436260326
0.0,0.0,9,0.5,0.12,2.5918841149225615
0.0,0.0,8,0.1,0.5,2.4901569500879206
